,dates,per0146-0000,per0146-0001,per0146-0002,per0146-0003,per0146-0004,per0146-0005,per0146-0006,per0146-0007,per0146-0008
0,1984-05-06 14:44:27+00:00,,,,,,,,,
1,1986-04-03 14:36:38+00:00,,,,,,,,,
2,1986-08-09 14:32:48+00:00,,,,,,,,,
3,1986-08-25 14:32:12+00:00,,,,,,,,,
4,1986-09-10 14:31:38+00:00,,,,,,,,,
5,1986-09-26 14:31:09+00:00,,,,,,,,,
6,1986-10-12 14:30:38+00:00,,,,,,,,,
7,1987-02-01 14:31:12+00:00,347.5689983303685,,,,,,381.37409627193773,,
8,1987-04-06 14:33:36+00:00,,,,,,,,,
9,1987-06-09 14:35:23+00:00,,,,,,,,,
10,1987-07-27 14:36:25+00:00,,,,,,,,,
11,1988-05-10 14:41:17+00:00,,,,,,,,,
12,1988-06-11 14:41:30+00:00,,,,,,,,,
13,1988-06-27 14:41:35+00:00,,,,,,,,,
14,1988-09-15 14:41:41+00:00,,,,,,,,,
15,1989-04-27 14:39:44+00:00,,,,,,,,,
16,1989-06-14 14:38:51+00:00,,,,,,,,,
17,1989-07-16 14:38:17+00:00,,,,,,,,,
18,1990-02-25 14:32:08+00:00,,,,,,,,,
19,1990-05-16 14:31:13+00:00,,,,,,,,,
20,1990-06-17 14:31:06+00:00,,,,,,,,,
21,1990-07-03 14:31:05+00:00,,,,,,,,,
22,1990-08-04 14:30:57+00:00,,,,,,,,,
23,1990-08-20 14:30:53+00:00,,,,,,,,,
24,1991-04-17 14:32:53+00:00,,,,,,,,,
25,1991-05-03 14:33:12+00:00,,,,,,,,,
26,1991-05-19 14:33:26+00:00,,,,,,,,,
27,1991-08-07 14:34:28+00:00,,,,,,,,,
28,1991-12-29 14:35:16+00:00,,,,,,,,,
29,1992-01-14 14:35:12+00:00,,,,,,,,,
30,1992-02-15 14:35:04+00:00,,,,,,,,,
31,1992-05-21 14:34:33+00:00,313.4566076173052,,390.7072659209683,391.9875360639136,,,,,
32,1992-06-06 14:34:26+00:00,302.29835299352476,252.38911429740907,401.0849894550724,375.3030957068461,,,,,301.1580764486309
33,1992-06-22 14:34:13+00:00,,254.65649683405076,,,194.16359051261182,203.2969972574796,405.1936792038654,,309.8750531685612
34,1992-07-08 14:34:01+00:00,,,,,187.08760499760177,224.02728243236248,390.1873007543441,,
35,1992-08-09 14:33:37+00:00,,,,,,,,,
36,1992-08-25 14:33:20+00:00,,,,,,,,,
37,1992-10-12 14:32:28+00:00,,,,,,,,,
38,1992-10-28 14:32:19+00:00,,,,,,,,,
39,1992-11-29 14:32:03+00:00,,,,,,,,,
40,1992-12-15 14:32:14+00:00,,,,,,,,,
41,1993-01-16 14:32:36+00:00,,,,,,,,,
42,1993-03-21 14:33:06+00:00,,,,,,,,,
43,1993-05-08 14:33:24+00:00,,,,,,,,,
44,1993-05-24 14:33:28+00:00,,,,,,,,,
45,1993-06-09 14:33:29+00:00,,214.7340031486544,,408.6609508658776,,,403.7212914344113,,
46,1993-06-25 14:33:24+00:00,,,,,,,,,
47,1993-07-11 14:33:21+00:00,,,,370.4747230654031,,,,,
48,1993-08-12 14:33:20+00:00,,,,,,,,,
49,1993-10-15 14:33:08+00:00,,,,,,,,,
50,1994-02-04 14:32:07+00:00,,,,,,,,,
51,1994-03-24 14:31:25+00:00,,,,,,,,,
52,1994-06-28 14:29:33+00:00,,,,,,,405.7449211063356,,
53,1994-08-15 14:28:15+00:00,,,,,,,,,
54,1994-09-16 14:27:28+00:00,,,,,,,,,
55,1994-10-18 14:26:30+00:00,,,,,,,,,
56,1994-12-05 14:24:54+00:00,,,,,,,,,
57,1994-12-21 14:24:24+00:00,,,,,,,,,
58,1995-04-12 14:20:00+00:00,,,,,,,,,
59,1995-04-28 14:19:19+00:00,,,,,,,,,
60,1995-06-15 14:17:07+00:00,,,,,,,404.1382456954708,,
61,1995-07-17 14:15:40+00:00,,,372.7987575593806,334.30882653681925,,,,,
62,1995-08-18 14:14:13+00:00,,,,,,,,,
63,1995-09-03 14:13:28+00:00,,,,,,,,,
64,1995-10-21 14:10:58+00:00,,,,,,,,,
65,1995-11-22 14:10:38+00:00,,,,,,,,,
66,1996-03-29 14:19:13+00:00,,,,,,,,,
67,1996-05-16 14:22:06+00:00,,,,,,,,,
68,1996-06-01 14:23:00+00:00,,,,342.01496666964414,,,,,
69,1996-07-03 14:24:43+00:00,,,,258.25121381289625,209.57536428409426,,402.98702887164336,215.81385980326326,
70,1996-07-19 14:25:34+00:00,,,,294.91331580626525,,,,,
71,1996-08-20 14:27:14+00:00,,,,,,,,,
72,1996-11-08 14:31:26+00:00,,,,,,,,,
73,1996-11-15 14:37:56+00:00,,,,,,,,,
74,1997-01-18 14:40:58+00:00,,,,,,,,,
75,1997-03-16 14:37:10+00:00,,,,,,,,,
76,1997-04-01 14:37:46+00:00,,250.62317705121276,341.1191814721268,289.9073903359519,,,,195.1234693671769,
77,1997-06-04 14:40:02+00:00,,,,,,,,,
78,1997-07-06 14:41:07+00:00,,,,289.6048952044206,,,,,
79,1997-07-22 14:41:40+00:00,,,,,,,405.6706723085041,,
80,1997-08-23 14:42:42+00:00,,,,,,,,,
81,1997-10-10 14:44:04+00:00,,,,,,,,,
82,1997-11-11 14:44:54+00:00,,,,,,,,,
83,1998-03-19 14:47:36+00:00,,,,,,,,,
84,1998-04-04 14:47:48+00:00,,,,,,,,,
85,1998-04-27 14:54:16+00:00,,,,,,,,,
86,1998-06-23 14:48:54+00:00,,,,,,,,,
87,1998-11-21 14:56:10+00:00,,,,,,,,,
88,1998-11-30 14:49:56+00:00,300.2401526510201,,,263.82254018757226,,,,,
89,1999-01-01 14:50:02+00:00,,,303.24860402140234,301.4577743861507,,,,,
90,1999-01-17 14:49:56+00:00,,,,,,,,,
91,1999-02-02 14:50:03+00:00,,,,,,,,,
92,1999-03-06 14:50:05+00:00,,,,,,,,,
93,1999-04-14 14:55:51+00:00,,,,,,,,,
94,1999-04-23 14:49:40+00:00,296.466384816911,,,,,,,,
95,1999-05-25 14:49:08+00:00,,,,,,,,,
96,1999-07-28 14:48:39+00:00,,,,,,,,,
97,1999-09-30 14:47:28+00:00,,,,,,,,,
98,1999-10-08 15:03:59+00:00,,,,,,,,,
99,1999-10-24 15:03:48+00:00,,,,,,,,,
100,1999-11-17 14:46:33+00:00,,,,,,,,,
101,1999-11-25 15:03:43+00:00,,,,,,,,,
102,1999-12-02 15:09:56+00:00,,,,,,,,,
103,1999-12-03 14:46:05+00:00,,,,,,,,,
104,2000-03-16 15:03:31+00:00,,,,,,,,,
105,2000-03-31 14:51:32+00:00,,,,,,,,,
106,2000-04-25 14:46:07+00:00,,,,,,,,,
107,2000-05-11 14:46:40+00:00,,,,,,,,,
108,2000-06-04 15:02:49+00:00,,,,,,,,210.72730223635108,
109,2000-07-06 15:02:32+00:00,,,,,,223.7432433193824,,,
110,2000-07-14 14:47:57+00:00,,,,,,,,,
111,2000-08-07 15:02:02+00:00,,68.09930330068991,,,,218.60546604334235,407.27119297303153,,278.15938766960403
112,2000-08-15 14:48:35+00:00,,,,,,,,,
113,2000-08-31 14:48:56+00:00,,,,,,,,,
114,2000-10-10 15:01:17+00:00,,,,339.5083685695595,,,,,
115,2000-10-17 15:07:17+00:00,,,,,,,,,
116,2000-10-18 14:49:32+00:00,,,,,,,,,
117,2000-10-26 15:01:15+00:00,,-5.585632252632644,,,,,,,
118,2000-11-18 15:07:27+00:00,,7.469418720647136,,,,,,,
119,2000-11-19 14:50:00+00:00,,,,,,,,,
120,2000-12-13 15:01:20+00:00,99.7552793825865,,,,,,388.33119061781974,243.63130342624942,297.58247942407604
121,2001-02-15 15:01:22+00:00,,,,,,,,,
122,2001-02-22 15:07:30+00:00,26.875533624029906,12.793415548239297,,,,,,11.78585679147678,10.276808499853757
123,2001-03-10 15:07:27+00:00,9.278855598514557,5.3399026515537615,,,,,,8.138027100518539,5.646371396266367
124,2001-03-19 15:01:09+00:00,24.225669351778066,7.596294909044719,,,,,,13.718574855131973,7.7140459563128
125,2001-03-27 14:51:06+00:00,,,,,,,,,
126,2001-04-03 14:57:08+00:00,,,,,,,,,
127,2001-04-04 15:00:59+00:00,19.36706162455863,10.165807462182178,,,,,,16.146259835404027,6.672771638929697
128,2001-04-11 15:07:14+00:00,8.823010299482004,-7.982945096744926,,,,,,6.121546244994173,5.729233016484304
129,2001-04-20 15:01:03+00:00,,,,,,,,,
130,2001-04-28 14:51:06+00:00,,,,,,,,,
131,2001-05-06 15:00:59+00:00,,,317.53420983960274,,,,,,
