dates,sar1370-0000,sar1370-0001,sar1370-0002,sar1370-0003,sar1370-0004,satname
1984-04-13 09:27:31+00:00,226.06,214.58,232.22,213.46,205.46,L5
1984-07-18 09:29:10+00:00,228.92,222.45,235.77,214.07,210.33,L5
1984-08-19 09:30:15+00:00,228.66,221.06,233.13,215.15,207.64,L5
1984-10-22 09:30:24+00:00,223.43,212.28,234.21,214.53,208.73,L5
1984-11-07 09:30:17+00:00,225.89,211.3,226.47,216.85,210.26,L5
1984-12-09 09:30:22+00:00,223.56,217.86,236.75,214.85,204.09,L5
1985-03-31 09:30:43+00:00,225.77,218.31,233.06,207.4,204.0,L5
1985-05-02 09:30:31+00:00,228.13,207.6,226.69,211.04,208.0,L5
1985-06-03 09:30:28+00:00,228.17,220.56,228.05,206.55,209.67,L5
1985-06-19 09:30:26+00:00,219.68,212.49,225.72,211.69,204.77,L5
1985-07-05 09:30:21+00:00,229.09,222.05,234.63,216.82,216.12,L5
1985-08-06 09:30:06+00:00,226.21,212.55,218.68,205.2,205.57,L5
1985-08-22 09:29:56+00:00,229.66,226.48,230.87,212.48,210.47,L5
1985-09-23 09:29:32+00:00,232.01,217.84,228.53,213.37,211.62,L5
1985-10-09 09:29:23+00:00,230.79,216.82,235.47,210.49,209.66,L5
1985-10-25 09:29:11+00:00,219.96,215.25,236.96,213.84,203.4,L5
1985-11-10 09:28:57+00:00,225.17,219.61,233.38,216.41,210.87,L5
1986-01-13 09:27:46+00:00,210.03,210.13,231.44,209.26,205.98,L5
1986-03-18 09:26:22+00:00,226.18,206.87,215.86,217.16,214.82,L5
1986-05-05 09:25:17+00:00,227.93,213.63,220.5,219.38,216.71,L5
1986-05-21 09:24:51+00:00,230.28,224.75,232.46,213.95,218.26,L5
1986-07-08 09:23:21+00:00,228.93,229.28,234.76,210.82,212.51,L5
1986-08-09 09:22:13+00:00,233.57,224.38,231.38,206.79,210.2,L5
1986-08-25 09:21:37+00:00,229.84,221.47,229.58,212.66,206.49,L5
1986-09-10 09:21:03+00:00,224.14,215.9,228.24,211.4,205.08,L5
1986-12-31 09:19:38+00:00,214.91,215.41,229.77,218.45,205.34,L5
1987-02-01 09:20:35+00:00,216.54,215.28,226.05,214.39,207.28,L5
1987-04-06 09:23:00+00:00,230.45,228.3,231.83,216.94,214.64,L5
1987-06-25 09:25:08+00:00,238.06,220.51,233.88,214.45,219.38,L5
1987-07-27 09:25:49+00:00,225.89,217.8,236.99,217.71,213.05,L5
1987-08-28 09:26:45+00:00,224.55,208.61,224.08,211.79,210.36,L5
1987-09-13 09:27:09+00:00,229.53,213.95,228.56,213.92,211.34,L5
1987-10-31 09:28:04+00:00,223.47,214.98,232.19,228.25,209.79,L5
1987-11-16 09:28:26+00:00,224.38,216.3,226.99,221.45,210.53,L5
1987-12-02 09:28:42+00:00,224.7,216.91,235.75,207.57,200.98,L5
1988-01-19 09:29:29+00:00,216.6,209.84,196.93,,,L5
1988-02-20 09:30:02+00:00,212.98,213.5,206.57,206.02,206.33,L5
1988-04-24 09:30:31+00:00,229.82,211.04,224.62,218.42,214.23,L5
1988-05-26 09:30:48+00:00,239.86,218.01,225.11,215.13,215.04,L5
1988-06-11 09:30:53+00:00,223.75,207.75,213.16,209.36,208.81,L5
1988-06-27 09:30:59+00:00,230.72,222.37,237.52,211.6,212.27,L5
1988-07-13 09:31:03+00:00,232.25,227.48,236.52,205.97,212.06,L5
1988-07-29 09:31:06+00:00,223.46,210.14,217.5,212.21,202.29,L5
1988-11-18 09:30:56+00:00,223.89,220.8,234.26,219.08,210.98,L5
1989-01-05 09:30:40+00:00,218.4,210.82,225.39,213.62,208.4,L5
1989-03-26 09:29:17+00:00,231.75,221.95,238.81,215.05,206.48,L5
1989-06-14 09:28:10+00:00,229.7,223.83,233.29,213.21,209.21,L5
1989-06-30 09:28:02+00:00,234.92,215.81,227.25,216.41,215.27,L5
1989-07-16 09:27:43+00:00,229.99,223.21,237.51,213.28,216.56,L5
1989-08-01 09:27:23+00:00,217.9,217.08,221.71,204.58,201.99,L5
1989-09-02 09:26:41+00:00,222.63,213.45,231.27,211.85,207.51,L5
1989-09-18 09:26:08+00:00,219.55,211.05,230.69,220.93,206.27,L5
1989-10-04 09:26:00+00:00,220.51,213.73,225.3,204.82,199.41,L5
1989-10-20 09:25:15+00:00,226.34,223.54,237.47,213.1,197.35,L5
1989-12-23 09:23:34+00:00,223.9,218.24,236.18,219.52,206.53,L5
1990-02-09 09:22:02+00:00,227.69,225.76,231.34,205.92,199.92,L5
1990-02-25 09:21:33+00:00,226.67,217.81,229.73,210.39,206.47,L5
1990-03-29 09:20:28+00:00,225.14,212.78,226.06,205.72,200.38,L5
1990-06-01 09:20:32+00:00,228.22,220.1,232.23,220.78,211.57,L5
1990-07-19 09:20:25+00:00,202.97,193.68,212.12,223.88,200.93,L5
1990-08-04 09:20:20+00:00,224.02,220.66,236.96,211.54,207.4,L5
1990-08-20 09:20:18+00:00,223.32,229.92,237.09,206.83,198.75,L5
1990-09-05 09:20:10+00:00,238.21,231.17,235.84,203.86,198.54,L5
1990-09-21 09:20:06+00:00,226.89,214.76,227.74,215.02,206.54,L5
1990-10-07 09:19:54+00:00,234.02,227.05,233.85,203.75,197.16,L5
1990-11-08 09:19:51+00:00,218.14,204.6,227.62,214.44,202.96,L5
1990-11-24 09:19:43+00:00,228.77,216.12,236.77,213.39,202.77,L5
1991-01-11 09:20:27+00:00,224.15,219.26,231.67,217.14,199.07,L5
1991-02-12 09:21:06+00:00,253.21,210.93,211.3,214.32,200.38,L5
1991-04-01 09:21:58+00:00,226.7,207.34,212.05,209.25,207.87,L5
1991-05-19 09:22:50+00:00,226.64,215.37,232.7,218.02,221.04,L5
1991-06-04 09:23:06+00:00,227.61,207.41,218.44,223.15,220.43,L5
1991-06-20 09:23:18+00:00,227.8,219.05,231.68,219.84,211.19,L5
1991-07-06 09:23:34+00:00,229.84,212.92,226.04,216.55,212.59,L5
1991-07-22 09:23:46+00:00,226.47,224.86,235.01,206.62,202.72,L5
1991-08-07 09:23:52+00:00,231.13,217.69,235.24,215.68,207.88,L5
1991-09-08 09:24:12+00:00,225.77,216.38,234.79,212.59,204.27,L5
1991-09-24 09:24:18+00:00,233.26,221.17,235.5,214.31,207.84,L5
1991-11-11 09:24:33+00:00,221.29,215.52,226.23,212.56,202.8,L5
1991-11-27 09:24:41+00:00,226.97,211.83,225.28,216.01,209.34,L5
1992-01-30 09:24:42+00:00,214.93,214.02,220.79,208.39,203.68,L5
1992-02-15 09:24:26+00:00,219.65,215.29,235.59,211.37,197.22,L5
1992-03-18 09:24:33+00:00,223.62,211.39,218.7,215.64,209.04,L5
1992-11-13 09:21:24+00:00,220.49,193.44,213.41,237.16,223.06,L5
1992-11-29 09:21:28+00:00,228.98,214.26,223.85,216.11,213.16,L5
1993-02-17 09:22:18+00:00,215.13,213.78,221.56,193.39,195.01,L5
1993-03-05 09:22:27+00:00,207.17,206.84,214.34,215.46,203.02,L5
1993-05-08 09:22:49+00:00,226.07,218.78,231.86,213.8,207.62,L5
1993-05-24 09:22:51+00:00,225.07,209.3,224.83,226.8,211.42,L5
1993-06-25 09:22:48+00:00,233.32,229.72,235.46,214.82,207.76,L5
1993-07-11 09:22:45+00:00,218.0,204.48,214.07,209.0,206.49,L5
1993-07-27 09:22:44+00:00,230.35,224.97,233.58,216.59,207.29,L5
1993-08-12 09:22:45+00:00,229.82,212.24,219.72,220.55,223.35,L5
1993-11-16 09:22:17+00:00,221.65,210.55,217.0,216.36,210.58,L5
1993-12-02 09:22:15+00:00,221.78,223.44,226.87,212.76,207.9,L5
1994-03-08 09:21:04+00:00,231.26,214.72,219.57,215.54,205.63,L5
1994-03-24 09:20:50+00:00,230.7,218.66,229.09,211.69,209.64,L5
1994-04-25 09:20:14+00:00,225.99,215.62,217.12,214.97,211.69,L5
1994-05-11 09:19:55+00:00,232.45,215.95,230.07,212.4,218.67,L5
1994-05-27 09:19:39+00:00,234.76,215.92,229.93,218.55,215.76,L5
1994-07-14 09:18:32+00:00,228.82,221.3,226.06,215.19,212.57,L5
1994-07-30 09:18:04+00:00,234.3,,,,,L5
1994-08-31 09:17:17+00:00,229.68,218.86,227.25,211.76,208.43,L5
1994-09-16 09:16:52+00:00,235.59,217.15,225.08,222.36,210.75,L5
1994-12-05 09:14:18+00:00,212.09,215.75,227.79,201.12,197.23,L5
1995-01-22 09:12:39+00:00,221.95,213.34,221.01,219.74,205.88,L5
1995-02-07 09:12:02+00:00,226.81,221.93,227.84,222.97,202.99,L5
1995-03-27 09:10:04+00:00,232.51,216.36,226.92,210.61,208.85,L5
1995-04-12 09:09:25+00:00,230.47,220.72,228.76,215.13,215.67,L5
1995-05-30 09:07:16+00:00,227.37,222.53,227.85,211.22,209.97,L5
1995-07-01 09:05:49+00:00,229.89,219.9,224.59,214.38,213.46,L5
1995-07-17 09:05:03+00:00,231.16,216.93,231.71,215.96,212.7,L5
1995-09-03 09:02:52+00:00,238.22,220.35,231.7,210.68,205.59,L5
1995-10-21 09:00:24+00:00,221.88,216.17,230.02,214.9,206.64,L5
1995-11-06 08:59:51+00:00,222.79,227.15,230.37,206.87,197.99,L5
1996-02-26 09:06:32+00:00,228.76,218.11,214.71,208.72,210.47,L5
1996-03-29 09:08:37+00:00,231.87,216.75,236.12,212.22,204.4,L5
1996-04-14 09:09:37+00:00,233.46,218.25,234.32,208.73,208.75,L5
1996-05-16 09:11:30+00:00,233.81,224.64,234.58,214.35,211.53,L5
1996-06-01 09:12:24+00:00,237.85,230.14,233.57,210.03,207.36,L5
1996-07-03 09:14:07+00:00,231.0,217.6,235.26,215.6,223.34,L5
1996-07-19 09:14:58+00:00,231.72,221.93,227.66,207.59,208.28,L5
1996-08-04 09:15:48+00:00,231.92,222.42,232.0,214.37,209.43,L5
1996-08-20 09:16:38+00:00,228.75,233.53,228.46,209.87,212.25,L5
1996-09-05 09:17:31+00:00,226.83,217.85,236.84,218.8,207.93,L5
1996-10-07 09:19:15+00:00,224.38,210.33,223.38,217.62,211.73,L5
1996-10-23 09:20:04+00:00,231.43,214.35,227.11,220.58,212.68,L5
1996-11-08 09:20:50+00:00,221.33,215.78,228.54,216.81,209.57,L5
1996-11-24 09:21:34+00:00,230.32,219.98,227.61,221.99,207.43,L5
1997-02-12 09:25:17+00:00,233.57,215.4,228.39,209.9,205.41,L5
1997-03-16 09:26:35+00:00,227.73,217.38,229.18,219.68,206.05,L5
1997-05-03 09:28:18+00:00,234.99,216.41,218.08,226.53,221.53,L5
1997-05-19 09:28:50+00:00,232.55,217.41,225.69,212.2,208.7,L5
1997-06-04 09:29:25+00:00,230.05,214.96,235.15,211.16,201.79,L5
1997-06-20 09:29:57+00:00,230.83,218.75,231.28,213.41,210.75,L5
