dates,nzd0578-0000,satname
1999-07-02 21:59:57+00:00,216.20,L7
1999-08-26 22:05:56+00:00,229.86,L7
1999-09-20 22:00:08+00:00,222.90,L7
1999-09-27 22:06:00+00:00,225.83,L7
1999-11-07 22:00:08+00:00,218.57,L7
1999-11-30 22:05:47+00:00,215.42,L7
1999-12-09 22:00:09+00:00,225.42,L7
1999-12-25 22:00:04+00:00,223.44,L7
2000-01-17 22:06:11+00:00,217.99,L7
2000-01-26 22:00:02+00:00,218.20,L7
2000-02-11 21:59:57+00:00,232.71,L7
2000-02-18 22:05:41+00:00,225.47,L7
2000-02-27 21:59:52+00:00,231.68,L7
2000-03-05 22:06:00+00:00,226.15,L7
2000-03-21 22:06:01+00:00,227.03,L7
2000-03-30 21:59:45+00:00,236.00,L7
2000-05-01 21:59:30+00:00,230.63,L7
2000-05-08 22:05:33+00:00,229.86,L7
2000-05-24 22:04:58+00:00,225.77,L7
2000-07-04 21:58:50+00:00,235.84,L7
2000-07-27 22:04:12+00:00,224.18,L7
2000-08-05 21:58:20+00:00,237.42,L7
2000-08-12 22:04:29+00:00,226.24,L7
2000-09-13 22:04:02+00:00,223.85,L7
2000-11-09 21:57:33+00:00,221.16,L7
2000-11-16 22:03:20+00:00,218.01,L7
2000-12-11 21:57:36+00:00,216.68,L7
2001-01-03 22:03:48+00:00,216.08,L7
2001-01-12 21:57:42+00:00,222.16,L7
2001-01-19 22:03:55+00:00,220.09,L7
2001-01-28 21:57:44+00:00,222.68,L7
2001-02-20 22:03:48+00:00,221.03,L7
2001-04-02 21:57:18+00:00,233.04,L7
2001-05-27 22:03:12+00:00,234.46,L7
2001-06-05 21:56:52+00:00,244.19,L7
2001-06-12 22:03:00+00:00,230.95,L7
2001-06-28 22:02:21+00:00,231.61,L7
2001-07-14 22:02:45+00:00,236.61,L7
2001-08-08 21:56:12+00:00,232.71,L7
2001-08-15 22:01:50+00:00,221.40,L7
2001-09-25 21:55:40+00:00,219.35,L7
2001-10-02 22:01:40+00:00,227.74,L7
2001-12-21 22:01:41+00:00,208.53,L7
2001-12-30 21:55:49+00:00,215.83,L7
2002-01-22 22:01:52+00:00,227.27,L7
2002-01-31 21:56:02+00:00,222.27,L7
2002-03-04 21:56:09+00:00,232.69,L7
2002-03-11 22:02:19+00:00,221.81,L7
2002-05-14 22:01:43+00:00,228.44,L7
2002-05-30 22:01:37+00:00,233.20,L7
2002-07-01 22:01:51+00:00,231.64,L7
2002-07-17 22:01:44+00:00,237.65,L7
2002-08-02 22:01:37+00:00,237.87,L7
2002-08-18 22:01:09+00:00,221.62,L7
2002-08-27 21:55:12+00:00,226.79,L7
