dates,satname,sar2176-0000,sar2176-0001,sar2176-0002,sar2176-0003,sar2176-0004
1984-04-13 09:27:07+00:00,L5,244.51,182.42,192.38,247.47,248.89
1984-05-06 09:33:27+00:00,L5,248.38,177.11,182.42,253.76,257.78
1984-05-31 09:27:59+00:00,L5,,,,,
1984-06-07 09:33:54+00:00,L5,250.86,180.98,182.35,247.39,256.99
1984-07-18 09:28:46+00:00,L5,253.69,190.63,188.65,254.26,259.99
1984-08-03 09:29:20+00:00,L5,253.38,192.55,198.70,251.23,260.27
1984-08-19 09:29:51+00:00,L5,251.92,186.24,189.50,248.03,256.66
1984-09-11 09:36:14+00:00,L5,248.97,180.98,183.63,260.90,262.15
1984-09-20 09:30:04+00:00,L5,252.71,182.95,192.55,257.68,257.44
1984-10-22 09:30:00+00:00,L5,254.96,188.89,190.15,250.27,262.75
1984-11-07 09:29:53+00:00,L5,252.40,187.00,187.24,248.92,257.30
1984-12-09 09:29:58+00:00,L5,258.35,186.31,194.64,251.18,258.94
1985-02-02 09:36:09+00:00,L5,248.68,182.84,190.93,256.84,258.47
1985-02-11 09:30:23+00:00,L5,251.54,182.26,184.35,254.87,261.50
1985-05-02 09:30:07+00:00,L5,248.01,186.61,185.75,254.30,257.41
1985-05-18 09:30:04+00:00,L5,244.13,186.22,202.67,247.98,247.30
1985-06-03 09:30:04+00:00,L5,,,,,
1985-06-10 09:35:50+00:00,L5,,,,,
1985-06-26 09:35:47+00:00,L5,,,,,
1985-07-05 09:29:57+00:00,L5,244.65,153.64,173.29,271.41,255.44
1985-07-28 09:35:58+00:00,L5,,,,,
1985-08-22 09:29:32+00:00,L5,251.31,184.75,190.68,254.81,257.17
1985-08-29 09:35:38+00:00,L5,188.70,298.55,162.32,140.75,186.14
1985-09-14 09:35:25+00:00,L5,242.46,183.70,189.85,240.18,246.08
1985-10-09 09:28:59+00:00,L5,262.46,182.56,183.95,257.40,268.59
1985-11-10 09:28:33+00:00,L5,252.64,184.81,185.30,258.42,259.47
1985-12-03 09:33:55+00:00,L5,249.00,192.14,199.08,256.66,263.96
1986-01-04 09:33:20+00:00,L5,247.30,182.75,189.12,252.18,250.50
1986-01-13 09:27:22+00:00,L5,242.09,183.86,189.40,245.68,248.54
1986-03-18 09:25:58+00:00,L5,250.36,186.50,199.24,256.12,256.47
1986-03-25 09:32:01+00:00,L5,253.39,180.70,190.99,255.76,262.50
1986-04-19 09:25:17+00:00,L5,,,,,
1986-05-12 09:30:29+00:00,L5,252.86,186.09,189.54,256.26,262.92
1986-05-28 09:30:02+00:00,L5,,,,,
1986-06-06 09:23:59+00:00,L5,,,,,
1986-07-08 09:22:57+00:00,L5,247.93,184.70,183.33,244.37,254.99
1986-07-15 09:28:53+00:00,L5,256.44,180.77,186.60,247.75,266.15
1986-07-24 09:22:23+00:00,L5,,,,,
1986-07-31 09:28:19+00:00,L5,254.18,176.58,183.52,257.13,260.71
1986-08-16 09:27:20+00:00,L5,248.81,185.13,190.39,252.49,260.63
1986-09-17 09:26:37+00:00,L5,248.26,184.63,185.78,249.32,256.46
1986-10-12 09:19:38+00:00,L5,,,,,
1986-12-22 09:24:45+00:00,L5,248.54,-19.12,47.68,295.77,241.73
