dates,satname,sar1380-0000,sar1380-0001,sar1380-0002
1984-06-07 09:34:42+00:00,L5,,,
1984-09-11 09:36:38+00:00,L5,,,
1984-09-27 09:36:39+00:00,L5,,,
1984-10-29 09:36:32+00:00,L5,,,
1985-06-26 09:36:35+00:00,L5,,,
1985-07-12 09:36:29+00:00,L5,,,
1985-07-28 09:36:22+00:00,L5,,,
1985-08-13 09:36:12+00:00,L5,,,
1985-08-29 09:36:02+00:00,L5,,,
1985-12-03 09:34:43+00:00,L5,,,
1986-01-04 09:34:08+00:00,L5,,,
1986-04-10 09:32:04+00:00,L5,,,
1986-05-12 09:31:17+00:00,L5,,,
1986-05-28 09:30:50+00:00,L5,,,
1986-06-29 09:29:50+00:00,L5,,,
1986-07-15 09:29:17+00:00,L5,,,
1986-09-17 09:27:01+00:00,L5,,,
1986-11-04 09:25:25+00:00,L5,,,
1986-12-22 09:25:33+00:00,L5,98.45,179.46,144.00
1987-01-07 09:26:01+00:00,L5,,,
1987-01-23 09:26:28+00:00,L5,,,
1987-04-29 09:29:54+00:00,L5,,,
1987-05-15 09:30:21+00:00,L5,,,
1987-06-16 09:31:07+00:00,L5,,,
1987-07-02 09:31:27+00:00,L5,,,
1987-07-18 09:31:44+00:00,L5,,,
1987-08-03 09:32:13+00:00,L5,,,
1987-08-19 09:32:41+00:00,L5,,,
1987-09-04 09:33:07+00:00,L5,,,
1987-09-20 09:33:30+00:00,L5,,,
1987-11-07 09:34:26+00:00,L5,,,
1987-12-09 09:34:58+00:00,L5,,,
1987-12-25 09:35:13+00:00,L5,,,
1988-01-10 09:35:29+00:00,L5,,,
1988-02-11 09:36:05+00:00,L5,,,
1988-04-15 09:36:38+00:00,L5,,,
1988-05-17 09:36:55+00:00,L5,,,
1988-07-04 09:37:12+00:00,L5,,,
1988-07-20 09:37:15+00:00,L5,,,
1988-08-05 09:37:16+00:00,L5,,,
1988-08-21 09:37:17+00:00,L5,,,
1988-09-22 09:37:13+00:00,L5,,,
1988-10-08 09:37:09+00:00,L5,,,
1988-12-11 09:36:57+00:00,L5,,,
1988-12-27 09:36:51+00:00,L5,,,
1989-01-12 09:36:44+00:00,L5,,,
1989-01-28 09:36:31+00:00,L5,,,
1989-03-17 09:35:40+00:00,L5,,,
1989-04-02 09:35:35+00:00,L5,,,
1989-05-20 09:34:56+00:00,L5,,,
1989-06-21 09:34:19+00:00,L5,,,
1989-07-23 09:33:45+00:00,L5,,,
1989-08-24 09:33:03+00:00,L5,,,
1989-09-25 09:32:16+00:00,L5,,,
1989-10-11 09:31:53+00:00,L5,,,
1989-10-27 09:31:15+00:00,L5,,,
1989-11-12 09:30:54+00:00,L5,,,
1990-01-15 09:28:57+00:00,L5,,,
1990-03-04 09:27:26+00:00,L5,,,
1990-04-21 09:26:46+00:00,L5,,,
1990-05-07 09:26:43+00:00,L5,,,
1990-05-23 09:26:44+00:00,L5,,,
1990-06-08 09:26:43+00:00,L5,,,
1990-06-24 09:26:42+00:00,L5,,,
1990-07-10 09:26:40+00:00,L5,,,
1990-08-27 09:26:25+00:00,L5,,,
1990-09-28 09:26:14+00:00,L5,,,
1990-10-14 09:26:08+00:00,L5,,,
1990-10-30 09:25:59+00:00,L5,,,
1991-01-18 09:26:53+00:00,L5,,,
1991-05-26 09:29:10+00:00,L5,,,
1991-06-27 09:29:37+00:00,L5,,,
1991-07-13 09:29:45+00:00,L5,,,
1991-07-29 09:30:00+00:00,L5,,,
1991-08-14 09:30:03+00:00,L5,,,
1991-08-30 09:30:13+00:00,L5,,,
1991-09-15 09:30:26+00:00,L5,,,
1991-10-01 09:30:30+00:00,L5,,,
1991-10-17 09:30:42+00:00,L5,,,
1991-11-02 09:30:40+00:00,L5,,,
1992-02-22 09:30:41+00:00,L5,,,
1992-03-09 09:30:43+00:00,L5,,,
1992-05-12 09:30:15+00:00,L5,,,
1992-05-28 09:30:06+00:00,L5,,,
1992-06-13 09:29:55+00:00,L5,,,
1992-06-29 09:29:44+00:00,L5,,,
1992-07-31 09:29:20+00:00,L5,,,
1992-08-16 09:29:05+00:00,L5,,,
1992-09-01 09:28:50+00:00,L5,,,
1992-09-17 09:28:36+00:00,L5,,,
1992-11-04 09:27:46+00:00,L5,,,
1992-12-06 09:27:46+00:00,L5,,,
1993-01-07 09:28:04+00:00,L5,154.93,238.42,311.76
1993-03-12 09:28:42+00:00,L5,,,
1993-03-28 09:28:44+00:00,L5,,,
1993-05-31 09:29:04+00:00,L5,,,
1993-06-16 09:29:02+00:00,L5,,,
1993-07-18 09:28:56+00:00,L5,,,
1993-08-03 09:28:56+00:00,L5,,,
1993-08-19 09:28:55+00:00,L5,,,
1993-09-20 09:28:50+00:00,L5,,,
1993-10-06 09:28:47+00:00,L5,,,
1994-02-27 09:27:23+00:00,L5,,,
1994-03-31 09:26:54+00:00,L5,,,
1994-07-21 09:24:31+00:00,L5,,,
1994-08-22 09:23:41+00:00,L5,,,
1994-09-07 09:23:17+00:00,L5,,,
1994-12-12 09:20:16+00:00,L5,,,
1995-01-13 09:19:10+00:00,L5,,,
1995-03-18 09:16:38+00:00,L5,,,
1995-04-19 09:15:18+00:00,L5,,,
1995-05-05 09:14:35+00:00,L5,,,
1995-06-06 09:13:07+00:00,L5,,,
1995-06-22 09:12:25+00:00,L5,,,
1995-07-08 09:11:41+00:00,L5,,,
1995-07-24 09:10:56+00:00,L5,,,
1995-08-25 09:09:29+00:00,L5,234.51,286.50,80.90
1995-09-10 09:08:43+00:00,L5,,,
1996-02-17 09:12:07+00:00,L5,,,
1996-03-04 09:13:10+00:00,L5,,,
1996-05-07 09:17:10+00:00,L5,,,
1996-05-23 09:18:04+00:00,L5,,,
1996-07-10 09:20:39+00:00,L5,,,
1996-07-26 09:21:31+00:00,L5,,,
1996-08-11 09:22:21+00:00,L5,,,
1996-08-27 09:23:11+00:00,L5,,,
1996-09-28 09:24:57+00:00,L5,313.60,232.39,243.69
1996-11-15 09:27:20+00:00,L5,,,
1996-12-17 09:28:51+00:00,L5,,,
1997-02-19 09:31:45+00:00,L5,,,
1997-03-23 09:33:01+00:00,L5,,,
1997-04-08 09:33:36+00:00,L5,,,
1997-05-10 09:34:43+00:00,L5,,,
1997-07-13 09:36:56+00:00,L5,,,
1997-07-29 09:37:29+00:00,L5,,,
1997-08-14 09:37:59+00:00,L5,,,
1997-08-30 09:38:29+00:00,L5,,,
1997-10-01 09:39:24+00:00,L5,,,
1997-11-18 09:40:37+00:00,L5,,,
1998-03-10 09:43:03+00:00,L5,,,
1998-03-26 09:43:17+00:00,L5,,,
1998-05-13 09:43:56+00:00,L5,,,
1998-06-14 09:44:24+00:00,L5,,,
1998-06-30 09:44:36+00:00,L5,,,
1998-07-16 09:44:47+00:00,L5,,,
1998-08-01 09:44:52+00:00,L5,,,
1998-08-17 09:45:00+00:00,L5,,,
1998-09-02 09:45:12+00:00,L5,,,
1998-09-18 09:45:20+00:00,L5,,,
1998-10-04 09:45:22+00:00,L5,,,
1998-10-20 09:45:22+00:00,L5,,,
1998-11-21 09:45:34+00:00,L5,,,
1998-12-23 09:45:35+00:00,L5,,,
1999-01-24 09:45:35+00:00,L5,,,
1999-02-25 09:45:46+00:00,L5,,,
1999-03-13 09:45:34+00:00,L5,,,
1999-04-14 09:45:15+00:00,L5,,,
1999-04-30 09:45:13+00:00,L5,,,
1999-06-17 09:44:29+00:00,L5,,,
1999-07-19 09:44:16+00:00,L5,,,
