,dates,per0147-0000,per0147-0001,per0147-0002,per0147-0003,per0147-0004,per0147-0005,per0147-0006,per0147-0007,per0147-0008,per0147-0009,per0147-0010,per0147-0011,per0147-0012,per0147-0013,per0147-0014,per0147-0015,per0147-0016,per0147-0017,per0147-0018,per0147-0019,per0147-0020,per0147-0021,per0147-0022,per0147-0023,per0147-0024,per0147-0025,per0147-0026,per0147-0027,per0147-0028,per0147-0029,per0147-0030
0,1984-05-06 14:44:27+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1986-04-03 14:36:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1987-03-28 14:39:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1987-04-06 14:33:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1987-06-09 14:35:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1987-07-27 14:36:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1988-05-10 14:41:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1988-06-11 14:41:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1988-06-27 14:41:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1988-07-04 14:47:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1988-09-15 14:41:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1989-04-27 14:39:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1989-06-14 14:38:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1989-07-16 14:38:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1990-01-24 14:33:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1990-02-25 14:32:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1990-05-16 14:31:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1990-06-17 14:31:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1990-07-03 14:31:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1990-08-04 14:30:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1990-08-20 14:30:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1991-02-12 14:31:42+00:00,,,,,,,,,,,,,,,238.79755462912422,,,,,,,,,,,,,,385.98566827680236,240.29062803970854,
27,1991-04-08 14:38:55+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1991-04-17 14:32:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1991-05-03 14:33:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1991-05-19 14:33:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1991-07-06 14:34:09+00:00,,,,,,,,,,,,,,,228.6630860673109,,,,,,,,,,,,,,,,
32,1991-08-07 14:34:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1991-12-29 14:35:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1992-01-14 14:35:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1992-01-30 14:35:17+00:00,,,,,,,,,178.68920808330245,,,,,,,,,,,,,184.21996572949777,,,,,,,,,
36,1992-02-15 14:35:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1992-05-21 14:34:33+00:00,,,254.16522132620798,,,,,,177.74811143719495,,,398.15875137526814,,,,,,,,,,170.87879171550307,,,,,,,372.4655366711239,237.0168228377753,
38,1992-06-06 14:34:26+00:00,,,237.49026208496684,,337.91806435099846,367.2632879689044,,,,,214.67170727364558,413.74653577706135,,,,,,,,,,,,,,,,,,,
39,1992-06-22 14:34:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1992-07-08 14:34:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1992-08-09 14:33:37+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1992-08-25 14:33:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1992-10-12 14:32:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1992-10-28 14:32:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1992-11-29 14:32:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1992-12-15 14:32:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1992-12-31 14:32:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1993-01-16 14:32:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1993-03-21 14:33:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1993-04-22 14:33:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1993-05-08 14:33:24+00:00,,,,,,,198.73575951146773,,,,247.778133593203,,337.9555676043315,,,,,,,,,,,,,,,,403.7126481736136,,
52,1993-05-24 14:33:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1993-06-09 14:33:29+00:00,,,,,370.5758146416269,343.9831258680213,195.25949613419058,,175.36561572944927,325.94543341014946,,,,,,,,,,339.41727992421295,,,325.81405542610105,,,,,,,,
54,1993-07-11 14:33:21+00:00,,,,,,,,,,,,,,,,,,,,,,,354.1132306028926,,,,,,,,
55,1993-08-12 14:33:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1993-08-28 14:33:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1993-10-15 14:33:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1994-02-04 14:32:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1994-03-08 14:31:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1994-03-24 14:31:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1994-04-25 14:30:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1994-05-27 14:30:15+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1994-06-28 14:29:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1994-07-30 14:28:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1994-08-15 14:28:15+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1994-09-16 14:27:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1994-12-05 14:24:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1995-02-07 14:22:37+00:00,,,,,,,,,,,,,,,,,,,,,,,349.7140205836181,,,,,,,,
69,1995-03-27 14:20:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1995-04-12 14:20:00+00:00,,,,,,,,,,359.74516734442363,,,336.06146679072697,,,,169.88648651358258,,,349.50634174193834,,,,,,,,,,,
71,1995-04-28 14:19:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1995-05-30 14:17:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1995-06-15 14:17:07+00:00,,,,,,,,,,,,,,,,,140.17588307200316,,,325.3173306089407,,,,,,,,,,,
74,1995-07-17 14:15:40+00:00,,,,,,352.01159269768607,,,,376.39731249778015,,,335.144136506801,,,,,,,,,,,,,,,,410.84740531227413,,
75,1995-08-18 14:14:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
